,n_frames,min_lambda,min_avg,min_dkl,min_loss,gbar,lim_chi2,lim_dkl,lim_loss,dV
0,10,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,1.0729830131446736,1.092084171680924,2.302585092994046,1.697334632337485,0.017102074197949957
1,35,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,1.3332944276283114,0.37353604669013263,3.5553480614894135,1.9644420540897731,0.28420949595023814
2,129,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,1.5588156408571336,0.055369509073838495,4.859812404361672,2.4575909567177554,0.7773583985782204
3,464,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,1.752125074334914,0.007547287151167522,6.139884552226255,3.0737159196887114,1.3934833615491764
4,1668,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,1.9260556304165635,0.14194763345286102,7.419380582918692,3.7806641081857766,2.100431550046242
5,5994,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,2.0854872629527863,0.4127789719411963,8.69851424787661,4.555646609908903,2.8754140517693685
6,21544,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,2.2335904542341054,0.7908854801382194,9.977852634491434,5.384369057314827,3.7041364991752923
7,77426,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,2.372454206142122,1.2560962759950876,11.25707792048289,6.256587098238989,4.576354540099454
8,278255,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,2.5036266932620244,1.7939329503423775,12.536293238428275,7.165113094385326,5.484880536245791
9,1000000,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,2.628260884878466,2.393522973320425,13.815510557964274,8.10451676564235,6.424284207502815
