,n_frames,min_lambda,min_avg,min_dkl,min_loss,gbar,lim_chi2,gbar_1d,lim_dkl,lim_loss,dV
0,10,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,1.0729830131446736,3.1165442843378703,0.6407757827723003,2.302585092994046,2.7095646886659583,1.0293321305264234
1,35,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,1.3332944276283114,1.55788571215799,0.9511082478910077,3.5553480614894135,2.5566168868237016,0.8763843286841666
2,129,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,1.5588156408571336,0.6664139328266209,1.2101949205882165,4.859812404361672,2.7631131685941464,1.0828806104546114
3,464,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,1.752125074334914,0.20663939970923922,1.427254360446723,6.139884552226255,3.173261975967747,1.4930294178282122
4,1668,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,1.9260556304165635,0.017976507466122574,1.6195541008639711,7.419380582918692,3.7186785451924074,2.0384459870528726
5,5994,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,2.0854872629527863,0.02445411426114764,1.793826867868501,8.69851424787661,4.361484181068879,2.681251622929344
6,21544,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,2.2335904542341054,0.17963331408800215,1.9542990229467678,9.977852634491434,5.078742974289718,3.3985104161501836
7,77426,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,2.372454206142122,0.4527189171491191,2.103706341507887,11.25707792048289,5.8548984188160045,4.17466586067647
8,278255,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,2.5036266932620244,0.8221269247989678,2.244027290609238,12.536293238428275,6.679210081613621,4.998977523474086
9,1000000,-3.953488372093023,0.9883720930232558,1.9537587885343428,1.680232558139535,2.628260884878466,1.2720537220329031,2.3767121544141534,13.815510557964274,7.543782139998588,5.863549581859053
